input_data,average_agreement.py,average_common_pool.py,average_steal_agreement.py,min_agreement.py,min_common_pool.py,min_steal_agreement.py,pref_agreement.py,pref_common_pool.py,pref_steal_agreement.py,rigid_backfill.py,rigid_easy_backfill.py
"30D[30|0|70]#S0{1,128|5E12,4E17}","1993, 16.5, 0.9","2023, 16.5, 0.9","1985, 16.5, 0.9","1988, 16.6, 0.9","2005, 16.7, 0.9","1995, 16.7, 0.9","2015, 16.6, 0.9","2031, 16.4, 0.9","2002, 16.5, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S1{1,128|5E12,4E17}","1899, 17.4, 0.8","1934, 17.5, 0.9","1926, 17.4, 0.9","1905, 17.6, 0.8","1903, 17.5, 0.8","1905, 17.6, 0.8","1969, 17.3, 0.9","1996, 17.1, 0.9","1972, 17.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S2{1,128|5E12,4E17}","1966, 17.2, 0.9","1963, 17.1, 0.9","1988, 17.3, 0.9","1923, 17.4, 0.8","1974, 17.5, 0.9","1946, 17.4, 0.8","1983, 17.1, 0.9","2068, 16.8, 0.9","1985, 17.1, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S3{1,128|5E12,4E17}","1990, 16.8, 0.9","2024, 16.9, 0.9","2008, 16.9, 0.9","1957, 17.2, 0.8","1972, 17.2, 0.9","1955, 17.2, 0.8","2064, 16.8, 0.9","2115, 16.6, 0.9","2102, 16.9, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S4{1,128|5E12,4E17}","1943, 17.4, 0.9","1935, 17.4, 0.9","1939, 17.4, 0.9","1883, 17.7, 0.8","1891, 17.6, 0.8","1926, 17.8, 0.9","2024, 17.0, 0.9","2039, 16.9, 0.9","2005, 16.8, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S5{1,128|5E12,4E17}","1885, 17.4, 0.8","1883, 17.2, 0.8","1885, 17.4, 0.8","1813, 17.6, 0.8","1868, 17.6, 0.8","1813, 17.6, 0.8","1948, 17.6, 0.9","1983, 17.3, 0.9","1937, 17.5, 0.8","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S6{1,128|5E12,4E17}","1945, 16.8, 0.8","1969, 16.9, 0.9","1954, 17.0, 0.8","1919, 17.3, 0.8","1942, 17.5, 0.8","1914, 17.4, 0.8","2003, 16.8, 0.9","2014, 17.0, 0.9","1970, 16.8, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S7{1,128|5E12,4E17}","2010, 16.8, 0.9","2050, 16.7, 0.9","2008, 16.8, 0.9","1980, 17.1, 0.9","2005, 16.7, 0.9","1980, 17.1, 0.9","2058, 16.5, 0.9","2090, 16.5, 0.9","2042, 16.6, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S8{1,128|5E12,4E17}","2019, 16.9, 0.9","2017, 16.6, 0.9","1983, 16.9, 0.9","1976, 17.3, 0.9","1967, 17.2, 0.8","1976, 17.3, 0.9","2080, 16.5, 0.9","2106, 16.6, 0.9","2095, 16.5, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[30|0|70]#S9{1,128|5E12,4E17}","1921, 16.8, 0.8","1955, 16.7, 0.9","1885, 16.7, 0.8","1896, 17.1, 0.8","1902, 17.1, 0.8","1895, 17.1, 0.8","1990, 16.1, 0.9","2044, 16.4, 0.9","1990, 16.1, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S0{1,128|5E12,4E17}","2118, 16.3, 0.9","2143, 16.4, 0.9","2120, 16.3, 0.9","2070, 16.7, 0.9","2112, 16.7, 0.9","2088, 16.8, 0.9","2209, 16.8, 1.0","2203, 16.4, 1.0","2215, 16.8, 1.0","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S1{1,128|5E12,4E17}","1986, 17.1, 0.9","2007, 17.0, 0.9","1988, 17.1, 0.9","1954, 17.4, 0.9","1979, 17.2, 0.9","1954, 17.4, 0.9","2029, 17.4, 0.9","2088, 17.4, 0.9","2029, 17.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S2{1,128|5E12,4E17}","2036, 16.5, 0.9","2042, 16.3, 0.9","2049, 16.6, 0.9","1998, 16.6, 0.9","1985, 16.6, 0.9","1994, 16.5, 0.9","2103, 16.7, 0.9","2096, 16.7, 0.9","2061, 16.8, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S3{1,128|5E12,4E17}","2083, 16.4, 0.9","2124, 16.3, 0.9","2083, 16.4, 0.9","2069, 16.8, 0.9","2039, 16.6, 0.9","2072, 16.8, 0.9","2158, 16.4, 0.9","2191, 16.4, 1.0","2149, 16.4, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S4{1,128|5E12,4E17}","2024, 16.8, 0.9","2107, 16.9, 0.9","2045, 17.2, 0.9","1998, 17.1, 0.9","2042, 17.2, 0.9","1998, 17.1, 0.9","2082, 16.7, 0.9","2142, 16.8, 0.9","2109, 17.0, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S5{1,128|5E12,4E17}","2022, 16.9, 0.9","2029, 16.9, 0.9","2013, 16.9, 0.9","1920, 16.8, 0.8","1932, 17.0, 0.8","1920, 16.8, 0.8","2035, 16.9, 0.9","2080, 17.0, 0.9","2053, 16.9, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S6{1,128|5E12,4E17}","2015, 16.4, 0.9","2057, 16.4, 0.9","2019, 16.3, 0.9","1960, 16.6, 0.8","1981, 16.5, 0.9","1946, 16.6, 0.8","2122, 16.8, 0.9","2087, 16.6, 0.9","2110, 16.8, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S7{1,128|5E12,4E17}","2126, 16.3, 0.9","2197, 16.6, 1.0","2136, 16.7, 0.9","2079, 16.9, 0.9","2132, 16.8, 0.9","2064, 16.9, 0.9","2143, 16.8, 0.9","2156, 16.7, 0.9","2122, 16.4, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S8{1,128|5E12,4E17}","2151, 16.8, 0.9","2112, 16.5, 0.9","2110, 16.7, 0.9","2062, 17.2, 0.9","2041, 16.8, 0.9","2058, 17.2, 0.9","2141, 16.4, 0.9","2148, 16.3, 0.9","2141, 16.3, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[20|0|80]#S9{1,128|5E12,4E17}","1948, 16.7, 0.9","2029, 16.8, 0.9","1989, 16.7, 0.9","1965, 17.3, 0.9","1996, 17.0, 0.9","1965, 17.3, 0.9","2048, 16.6, 0.9","2076, 16.2, 0.9","2059, 16.5, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
"30D[10|0|90]#S0{1,128|5E12,4E17}","2140, 15.3, 0.9","2199, 15.8, 0.9","2138, 15.5, 0.9","2133, 16.0, 0.9","2059, 15.3, 0.9","2117, 15.9, 0.9","2213, 16.4, 1.0","2160, 16.1, 0.9","2180, 16.1, 0.9","0, 0.0, 0.0","0, 0.0, 0.0"
